ID,Make,Model,Make_Year,Color,Body_Type,kilometers_run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),kilometer_at_liter,Price
483,9,50,2014,12,4,64291.0,2,5,2,43,1197,5,1,85.0,113.0,18.5,4522.222222222223
484,4,17,2017,13,1,25068.0,1,5,2,43,1591,5,1,121.0,158.0,17.4,9155.555555555557
485,11,66,2020,13,3,27215.0,1,7,2,40,999,5,1,71.0,96.0,20.0,8211.111111111111
486,4,28,2014,3,4,62692.0,2,5,2,45,1197,5,1,82.85,113.0,18.5,5388.888888888889
487,4,24,2020,7,1,16234.0,1,5,1,45,1493,6,1,113.0,250.0,25.0,16266.666666666666
488,4,15,2018,7,4,39742.0,1,5,2,45,1197,5,2,82.0,115.0,18.6,7677.777777777777
489,9,56,2017,7,4,27876.0,1,5,2,32,998,5,1,67.05,90.0,21.79,5688.888888888889
490,4,15,2017,11,4,51511.0,1,5,1,45,1396,6,1,88.73,219.7,22.54,8755.555555555555
491,9,53,2012,2,4,82049.0,1,5,1,43,1248,5,1,74.0,190.0,22.9,5077.777777777777
492,9,45,2018,3,1,16257.0,1,5,2,37,1197,5,2,88.5,113.0,23.26,8388.888888888889
493,8,36,2020,13,2,39894.0,1,5,1,42,1497,6,1,115.0,300.0,20.0,14188.888888888889
494,9,46,2018,7,3,24630.0,1,5,2,40,1196,5,1,72.42,98.0,16.11,5022.222222222223
495,9,41,2013,11,4,74834.0,1,5,2,35,998,5,1,67.1,90.0,20.92,3344.4444444444443
496,9,41,2011,2,4,54857.0,2,5,2,35,998,5,1,67.1,90.0,20.92,2911.1111111111118
497,9,41,2013,11,4,59394.0,1,5,2,35,998,5,1,67.1,90.0,20.92,3422.222222222222
498,9,44,2020,13,1,8617.0,1,5,2,43,1696,5,1,103.25,138.0,20.65,11366.666666666666
499,2,7,2018,11,5,29028.0,1,5,2,42,1298,5,2,94.93,119.0,18.5,7055.555555555556
500,9,44,2020,7,1,4878.0,1,5,2,43,1696,5,1,103.25,138.0,20.65,11277.777777777776
501,9,41,2011,12,4,82262.0,2,5,2,35,998,5,1,67.1,90.0,20.92,2833.333333333333
502,9,53,2011,11,4,56696.0,1,5,2,43,1197,5,1,85.0,113.0,16.1,4400.0
503,4,14,2016,11,2,40249.0,1,5,2,60,1591,6,1,122.0,154.0,15.29,11233.333333333334
504,4,15,2015,11,4,29169.0,1,5,2,45,1197,5,1,82.0,115.0,18.6,7344.444444444444
505,9,50,2014,11,4,48449.0,1,5,2,43,1197,5,1,85.0,113.0,18.5,5000.0
506,15,85,2011,11,4,55512.0,1,5,2,45,1199,5,1,74.0,110.0,16.2,4833.333333333333
507,4,24,2014,13,1,81335.0,2,5,1,43,1582,4,1,126.0,260.0,21.9,8577.777777777777
508,9,40,2015,12,4,25388.0,1,5,2,35,796,5,1,47.3,69.0,22.74,3677.777777777778
509,11,62,2021,13,2,17120.0,1,5,2,40,1298,5,2,71.0,96.0,19.7,9222.222222222224
510,11,63,2021,12,4,25170.0,1,5,2,28,799,5,2,53.0,72.0,20.71,5388.888888888889
511,9,50,2014,5,4,67154.0,2,5,2,43,1197,5,1,85.0,113.0,18.5,4500.0
512,9,56,2012,7,4,40078.0,1,5,2,35,998,5,1,67.1,90.0,18.9,3855.555555555556
513,9,40,2017,7,4,10100.0,1,5,2,35,796,5,1,47.3,69.0,22.0,4100.0
514,4,15,2018,11,4,23326.0,1,5,2,45,1197,5,2,82.0,115.0,18.6,8533.333333333334
515,3,11,2016,11,4,56762.0,1,5,2,40,1199,5,2,88.7,110.0,18.7,6422.222222222223
516,9,40,2021,13,4,6363.0,1,5,2,35,796,5,1,47.3,69.0,22.05,4633.333333333333
517,9,56,2012,3,4,49799.0,1,5,2,35,998,5,1,67.1,90.0,18.9,3877.777777777778
518,3,11,2016,13,4,94873.0,1,5,2,40,1199,5,2,88.7,110.0,18.7,6400.0
519,2,4,2016,3,2,69414.0,1,5,2,52,999,5,1,124.0,170.0,18.9,6988.888888888889
520,4,27,2014,11,4,40450.0,1,5,2,35,1197,5,1,78.9,111.8,20.36,4700.0
521,2,4,2014,13,2,86120.0,1,5,1,52,1498,5,1,98.96,215.0,21.7,7144.444444444444
522,4,15,2018,11,4,29948.0,1,5,2,45,1197,5,2,82.0,115.0,18.6,8188.888888888889
523,11,63,2019,7,4,22356.0,1,5,2,28,799,5,1,53.3,72.0,25.17,4722.222222222223
524,4,27,2011,7,4,77554.0,1,5,2,35,1086,5,1,68.05,99.04,19.81,3666.6666666666665
525,6,31,2020,11,2,18499.0,1,5,2,50,1497,6,1,113.4,114.0,16.8,15211.111111111111
526,9,46,2019,7,3,27462.0,1,5,2,40,1196,5,1,72.42,98.0,16.11,4844.444444444444
527,3,13,2019,11,2,53948.0,1,5,2,40,1199,5,1,88.5,110.0,16.5,9811.111111111111
528,6,31,2020,11,2,20280.0,1,5,2,50,1353,6,1,138.0,242.0,16.1,17888.88888888889
