ID,Make,Model,Make_Year,Color,Body_Type,kilometers_run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),kilometer_at_liter,Price
794,Toyota,Yaris,2018,brown,sedan,73664.0,1,5,petrol,42,1596,5-Speed,Manual,105.94,140.0,18.1,11233.333333333334
795,Toyota,Yaris,2018,brown,sedan,73664.0,1,5,petrol,42,1496,5-Speed,Manual,105.94,140.0,18.1,11233.333333333334
796,Toyota,Yaris,2018,brown,sedan,73664.0,1,5,petrol,42,1496,5-Speed,Manual,105.94,140.0,18.1,11233.333333333334
797,MarutiSuzuki,Ciaz,2016,brown,sedan,69045.0,1,5,petrol,43,1373,5-Speed,Manual,91.1,130.0,20.73,7766.666666666667
798,Hyundai,Elitei20,2016,white,hatchback,25382.0,1,5,petrol,45,1197,5-Speed,Manual,82.0,115.0,18.6,8066.666666666667
799,Hyundai,Xcent,2015,red,sedan,68611.0,1,5,petrol,43,1197,5-Speed,Manual,81.0,114.0,19.1,5744.444444444444
800,Hyundai,Grandi10,2016,white,hatchback,30045.0,2,5,petrol,43,1197,4-Speed,Automatic,82.0,114.0,18.9,6366.666666666667
801,Hyundai,Eon,2018,red,hatchback,11225.0,1,5,petrol,32,814,5-Speed,Manual,55.2,74.5,21.1,5044.444444444444
802,Renault,Lodgy,2015,silver,muv,73760.0,1,8,diesel,50,1461,6-Speed,Manual,108.0,245.0,19.98,6944.444444444444
803,Ford,EcoSport,2019,blue,suv,67732.0,1,5,diesel,52,1498,5-Speed,Automatic,98.86,215.0,21.7,10611.111111111111
804,MarutiSuzuki,AltoK10,2011,red,hatchback,67463.0,2,5,petrol,35,998,5-Speed,Manual,67.1,90.0,20.92,3044.4444444444443
805,Renault,Kiger,2021,grey,suv,30322.0,1,5,petrol,40,1298,5-Speed,Automatic,71.0,96.0,19.03,10288.888888888889
806,MarutiSuzuki,S-Presso,2019,white,hatchback,15878.0,2,5,petrol,27,998,5-Speed,Manual,67.0,90.0,21.01,5166.666666666667
807,Volkswagen,Polo,2016,silver,hatchback,44885.0,1,5,petrol,45,1199,5-Speed,Manual,74.0,110.0,16.2,7366.666666666667
808,MarutiSuzuki,Baleno,2019,blue,hatchback,31171.0,1,5,petrol,37,1596,5-Speed,Manual,81.8,113.0,21.01,9022.222222222223
809,MarutiSuzuki,Baleno,2019,blue,hatchback,31171.0,1,5,petrol,37,1596,5-Speed,Manual,81.8,113.0,21.01,9022.222222222223
810,MarutiSuzuki,Baleno,2019,blue,hatchback,31171.0,1,5,petrol,37,1197,5-Speed,Manual,81.8,113.0,21.01,9022.222222222223
811,MarutiSuzuki,Baleno,2019,blue,hatchback,31171.0,1,5,petrol,37,1197,5-Speed,Manual,81.8,113.0,21.01,9022.222222222223
812,Honda,City,2016,silver,sedan,43992.0,1,5,petrol,40,1497,5-Speed,Manual,117.3,145.0,18.0,9955.555555555555
813,MarutiSuzuki,Ciaz,2020,silver,sedan,17050.0,1,5,petrol,43,1696,5-Speed,Manual,103.25,138.0,20.65,10866.666666666666
814,MarutiSuzuki,S-Presso,2020,grey,hatchback,6470.0,1,5,petrol,27,998,5-Speed,Manual,67.0,90.0,21.01,6011.111111111111
815,Nissan,Magnite,2022,brown,suv,3832.0,1,5,petrol,40,1298,5-Speed,Automatic,99.0,160.0,20.0,12288.888888888889
816,MarutiSuzuki,Celerio,2015,blue,hatchback,47060.0,1,5,petrol,35,998,5-Speed,Automatic,67.04,90.0,23.1,5155.555555555556
817,Hyundai,Venue,2020,blue,suv,37489.0,1,5,petrol,45,998,6-Speed,Manual,118.35,171.6,18.27,11044.444444444445
818,Hyundai,Elitei20,2020,grey,hatchback,30169.0,1,5,petrol,40,1197,5-Speed,Automatic,81.86,117.0,18.6,8988.888888888889
819,Honda,Amaze,2015,white,sedan,53600.0,2,5,petrol,35,1198,5-Speed,Manual,86.9,109.0,18.0,6044.444444444444
820,MarutiSuzuki,SwiftDzire,2013,silver,sedan,61796.0,1,5,diesel,42,1248,5-Speed,Manual,74.0,190.0,23.4,5977.777777777777
821,Volkswagen,Ameo,2016,brown,sedan,26094.0,1,5,petrol,45,1198,5-Speed,Automatic,73.75,110.0,17.0,6744.444444444444
822,MarutiSuzuki,Ciaz,2016,brown,sedan,99144.0,1,5,petrol,43,1373,5-Speed,Automatic,91.0,130.0,19.12,8377.777777777777
823,Hyundai,Xcent,2017,white,sedan,49335.0,2,5,petrol,43,1197,5-Speed,Manual,81.86,113.75,20.14,6866.666666666667
824,MarutiSuzuki,Baleno,2019,blue,hatchback,13197.0,1,5,petrol,37,1197,5-Speed,Manual,81.8,113.0,21.01,9044.444444444445
825,Toyota,EtiosLiva,2011,silver,hatchback,50857.0,1,5,petrol,45,1197,5-Speed,Manual,80.0,104.0,17.71,4511.111111111111
826,Hyundai,Venue,2019,blue,suv,12156.0,1,5,petrol,45,998,6-Speed,Manual,118.35,171.6,18.27,11077.777777777777
827,Hyundai,Grandi10,2017,white,hatchback,39525.0,2,5,petrol,43,1197,5-Speed,Manual,82.0,114.0,18.9,5811.111111111111
828,MarutiSuzuki,AltoK10,2019,red,hatchback,27951.0,1,5,petrol,35,998,5-Speed,Manual,67.0,90.0,24.07,4722.222222222223
829,Hyundai,Newi20,2021,silver,hatchback,25975.0,1,5,petrol,37,998,6-Speed,Automatic,118.0,172.0,20.2,11400.0
830,Hyundai,i10,2011,grey,hatchback,89303.0,1,5,petrol,35,1197,5-Speed,Manual,78.9,111.8,20.36,3922.222222222222
831,MarutiSuzuki,Celerio,2015,silver,hatchback,24655.0,1,5,petrol,35,998,5-Speed,Automatic,67.04,90.0,23.1,5444.444444444444
832,Renault,Duster,2017,grey,suv,54260.0,2,5,diesel,50,1461,5-Speed,Manual,84.0,200.0,19.87,9577.777777777777
833,MarutiSuzuki,Eeco,2017,grey,muv,39484.0,1,5,petrol,40,1196,5-Speed,Manual,72.42,98.0,16.11,4722.222222222223
834,Hyundai,Grandi10,2015,grey,hatchback,32754.0,1,5,petrol,43,1197,5-Speed,Manual,82.0,114.0,18.9,6088.888888888889
835,Hyundai,Grandi10,2014,orange,hatchback,66963.0,1,5,petrol,43,1197,5-Speed,Manual,82.0,114.0,18.9,5166.666666666667
836,Hyundai,NewSantro1.1,2018,beige,hatchback,33581.0,1,5,petrol,35,1086,5-Speed,Manual,68.07,99.07,20.3,5611.111111111111
837,Mahindra,Scorpio,2017,white,suv,41060.0,1,7,diesel,60,2179,5-Speed,Manual,120.0,280.0,15.4,12955.555555555555
838,Hyundai,Venue,2020,blue,suv,49130.0,1,5,petrol,45,1798,6-Speed,Manual,118.35,171.6,18.27,12211.111111111111
839,MarutiSuzuki,Alto800,2021,grey,hatchback,4773.0,1,5,petrol,35,796,5-Speed,Manual,47.3,69.0,22.05,5100.0
840,MarutiSuzuki,Eeco,2021,silver,muv,14560.0,1,5,petrol,40,1197,5-Speed,Manual,72.42,98.0,16.11,5622.222222222223
841,Renault,Duster,2013,silver,suv,88547.0,1,5,diesel,50,1461,5-Speed,Manual,84.0,200.0,20.45,6866.666666666667
842,Volkswagen,Ameo,2016,brown,sedan,46922.0,2,5,petrol,45,1198,5-Speed,Automatic,73.75,110.0,17.0,6044.444444444444
843,Hyundai,i10,2012,black,hatchback,64378.0,1,5,petrol,35,1086,5-Speed,Manual,68.05,99.04,19.81,3711.1111111111113
844,MarutiSuzuki,Baleno,2018,blue,hatchback,41244.0,1,5,petrol,37,1197,5-Speed,Manual,81.8,113.0,21.01,8488.888888888889
